nh3,nh3,nh3,nh3,nh3,nh3,nh3,nh3,nh3,nh3,nh3,nh3,nh3
1.431495558,0.521873874,-0.575182867,-1.890451041,2.031001537,0.847727358,-3.80781723,-7.442531486,-2.292625119,0.581193502,8.307423203,0.334643448,30.58324926
9.970521755,3.037747986,1.023516889,-2.113637707,2.111132212,0.885111456,-3.944509048,-7.444746076,-2.322818567,0.594514392,8.325211329,0.334731734,30.58322365
13.76271559,6.438969492,2.033749446,-2.129239576,2.122435887,0.9230405,-4.080705438,-7.446997105,-2.352755998,0.607836656,8.342936401,0.33481695,30.5831972
10.48434804,8.371212778,2.309078274,-1.910553967,2.062129984,0.962032163,-4.216350194,-7.449288368,-2.382435886,0.621159891,8.36059827,0.334899093,30.58316992
10.91477803,6.714149831,1.782480235,-1.455693412,1.936619835,1.001732502,-4.351387112,-7.451623659,-2.411856704,0.634483693,8.378196782,0.334978159,30.58314182
11.66309849,2.136060712,0.704585773,-0.830876238,1.754652764,1.041555694,-4.485759984,-7.454006774,-2.441016925,0.64780766,8.395731787,0.335054145,30.58311289
-11.03386221,-3.51542441,-0.594561278,-0.118819691,1.524976094,1.08091592,-4.619412605,-7.456441506,-2.469915022,0.661131388,8.413203132,0.335127048,30.58308314
-12.70899526,-7.202955817,-1.784917081,0.597758983,1.256337149,1.119227356,-4.75228877,-7.458931651,-2.498549468,0.674454475,8.430610667,0.335196863,30.58305255
-11.79824129,-8.176134353,-2.536437801,1.236142539,0.95748325,1.155904183,-4.884332272,-7.461481,-2.52691874,0.687776516,8.447954239,0.335263588,30.58302114
-7.259828381,-6.582633086,-2.601188579,1.726082386,0.637161722,1.19036058,-5.015486905,-7.464093314,-2.555021345,0.701097111,8.465233697,0.335327218,30.5829889
-2.151907668,-3.001640746,-2.062868568,2.050508688,0.304013857,1.222010597,-5.145696338,-7.466772069,-2.582856074,0.714415854,8.482448889,0.335387751,30.58295583
-0.685266937,1.429930916,-1.100078266,2.21824721,-0.033953631,1.25026533,-5.274901278,-7.469519823,-2.610422636,0.727732344,8.499599664,0.335445182,30.58292193
2.229695449,5.324780724,0.105383735,2.242666011,-0.370078231,1.274524746,-5.403031311,-7.472338623,-2.637721254,0.741046176,8.51668587,0.335499509,30.5828872
10.13946634,7.318722293,1.371718845,2.138883967,-0.699448246,1.294177221,-5.530004426,-7.475230418,-2.664752246,0.754356949,8.533707356,0.335550728,30.58285164
14.12168761,7.392394027,2.521148645,1.922235768,-1.017367794,1.308589065,-5.655716549,-7.478197147,-2.691515939,0.767664259,8.55066397,0.335598835,30.58281525
6.988248173,5.752893553,3.415188469,1.608010963,-1.319095853,1.317104884,-5.780041901,-7.481240739,-2.718012675,0.780967702,8.56755556,0.335643827,30.58277804
-0.261421628,3.072904632,4.012974023,1.210751168,-1.599891402,1.319050874,-5.902836294,-7.484363118,-2.744242796,0.794266876,8.584381974,0.335685701,30.58273999
-8.1075382,0.081544699,4.299073009,0.742779066,-1.855013418,1.313740145,-6.023942453,-7.487566209,-2.770206645,0.807561379,8.601143062,0.335724452,30.58270112
-12.95292519,-2.509461564,4.253766385,0.220704086,-2.079720879,1.300481728,-6.143199025,-7.490851936,-2.795904566,0.820850805,8.617838671,0.335760078,30.58266141
-12.19542926,-4.513366469,3.848930223,-0.330459455,-2.269272763,1.278585919,-6.26044592,-7.494222226,-2.8213369,0.834134754,8.63446865,0.335792574,30.58262087
-10.12838933,-5.827930057,3.055064536,-0.884321185,-2.418928049,1.247363461,-6.375523497,-7.497679003,-2.846503991,0.847412821,8.651032848,0.335821936,30.58257951
-8.642134563,-6.133845221,1.842734282,-1.414632587,-2.523945714,1.2061251,-6.488272117,-7.501224189,-2.871406184,0.860684604,8.667531112,0.335848162,30.58253731
-7.882167322,-5.40181424,0.217687008,-1.895145146,-2.579615315,1.15421216,-6.598532141,-7.504859708,-2.896043823,0.873949699,8.683963291,0.335871247,30.58249429
-6.888933486,-3.749159808,-1.662765811,-2.299610346,-2.581547934,1.091287489,-6.70614393,-7.508587483,-2.920417254,0.887207704,8.700329234,0.335891187,30.58245044
-3.562725435,-1.76877494,-3.565895876,-2.60177967,-2.526210132,1.017869416,-6.810947843,-7.512409437,-2.94452682,0.900458215,8.716628789,0.335907979,30.58240575
3.67722349,0.133670151,-5.247256731,-2.775404602,-2.410374799,0.934782599,-6.912784241,-7.516327491,-2.968372869,0.913700829,8.732861804,0.335921618,30.58236024
9.167108159,2.231041205,-6.476366082,-2.79304476,-2.232014664,0.842859666,-7.011493485,-7.520343564,-2.99195575,0.926935143,8.749028127,0.335932102,30.5823139
8.419847908,4.348316247,-7.041578385,-2.621912702,-1.994461355,0.742945087,-7.106915936,-7.524459572,-3.015275814,0.940160755,8.765127608,0.335939427,30.58226673
10.55214475,4.960702334,-6.721294541,-2.239676025,-1.704619788,0.635946389,-7.198891953,-7.528677429,-3.038333415,0.953377261,8.781160094,0.335943588,30.58221873
8.684418973,2.97630724,-5.334673348,-1.679283817,-1.369990154,0.522786782,-7.287261898,-7.532999051,-3.061128907,0.966584258,8.797125434,0.335944582,30.58216991
-3.933960968,-1.316033917,-3.096583863,-0.987650436,-0.998072645,0.404389478,-7.37186613,-7.537426349,-3.083662643,0.979781342,8.813023476,0.335942405,30.58212025
-7.221421416,-4.358098441,-0.403487914,-0.211690239,-0.596367451,0.281677688,-7.452545011,-7.541961239,-3.105934977,0.992968112,8.828854069,0.335937054,30.58206976
-10.33753856,-4.54207396,2.369712842,0.601682417,-0.172374766,0.155574623,-7.529138901,-7.546605634,-3.127946264,1.006144164,8.844617061,0.335928525,30.58201845
-8.444092279,-3.449909725,4.930082063,1.405553174,0.266405221,0.027003496,-7.60148816,-7.551361448,-3.149696857,1.019309094,8.860312301,0.335916813,30.58196631
-3.386338339,-2.034727167,7.079331465,2.153007674,0.712472316,-0.103112483,-7.669433149,-7.556230595,-3.17118711,1.032462501,8.875939636,0.335901917,30.58191334
-1.246656727,-0.042820264,8.639469539,2.79713156,1.15832633,-0.233850103,-7.732814229,-7.561214989,-3.192417378,1.045603979,8.891498916,0.335883831,30.58185954
2.429087381,2.343002192,9.432504776,3.291010474,1.59646707,-0.364286152,-7.791471759,-7.566316544,-3.213388013,1.058733128,8.906989988,0.335862552,30.58180491
9.22344906,4.281511163,9.275863531,3.592312197,2.019394345,-0.493497418,-7.845246101,-7.571537174,-3.234099371,1.071849543,8.922412701,0.335838077,30.58174945
9.104548265,4.284082418,8.052640995,3.684865973,2.419607963,-0.620560691,-7.893977615,-7.576878793,-3.254551804,1.084952822,8.937766904,0.335810402,30.58169316
3.132782099,2.097448934,5.972384214,3.588207972,2.789814608,-0.744552759,-7.937506662,-7.582343314,-3.274745667,1.098042561,8.953052445,0.335779523,30.58163605
0.383295169,-1.018411856,3.308815358,3.328311782,3.124116458,-0.864550412,-7.975673601,-7.587932652,-3.294681314,1.111118357,8.968269171,0.335745437,30.5815781
-4.692972627,-3.354362245,0.330701029,2.928460146,3.419306537,-0.979630436,-8.008318794,-7.59364872,-3.314359098,1.124179808,8.983416933,0.33570814,30.58151933
-8.27679517,-4.459550747,-2.69319217,2.410519811,3.673593865,-1.088869622,-8.035282601,-7.599493433,-3.333779374,1.13722651,8.998495577,0.335667628,30.58145973
-6.785023155,-4.385244573,-5.505902124,1.796145519,3.885399465,-1.191344758,-8.056405382,-7.605468704,-3.352942496,1.15025806,9.013504953,0.335623898,30.5813993
-4.973668936,-3.538296514,-7.915719477,1.106992016,4.053144359,-1.286132632,-8.071527499,-7.611576447,-3.371848816,1.163274056,9.028444909,0.335576945,30.58133804
-4.256787883,-2.147199191,-9.821252033,0.364714046,4.175249571,-1.372310033,-8.080489311,-7.617818576,-3.39049869,1.176274093,9.043315293,0.335526767,30.58127595
-4.16442668,-0.500761151,-11.16480035,-0.409033648,4.250204225,-1.449021852,-8.083131885,-7.6241963,-3.408892471,1.18925777,9.058115953,0.33547336,30.58121303
-4.257752282,1.146303853,-11.90163951,-1.192596322,4.276921611,-1.515837146,-8.079299654,-7.630707459,-3.427030513,1.202224682,9.072846739,0.335416719,30.58114928
-2.944941483,2.561693287,-12.0122522,-1.96451301,4.254984239,-1.57299419,-8.068839952,-7.637346994,-3.44491317,1.215174428,9.087507498,0.335356842,30.58108471
0.65229175,3.838428534,-11.48800615,-2.704224447,4.184101741,-1.620858382,-8.05160066,-7.644109299,-3.462540796,1.228106603,9.102098079,0.335293725,30.5810193
2.196410695,4.986814389,-10.32015541,-3.392745697,4.063973811,-1.659785183,-8.027429657,-7.650988769,-3.479913745,1.241020805,9.11661833,0.335227364,30.58095307
3.562482411,5.364551867,-8.496330435,-4.014715437,3.894299199,-1.690116016,-7.996187915,-7.657979796,-3.497032371,1.253916631,9.131068099,0.335157755,30.58088601
5.74838948,4.226123755,-6.012884689,-4.555646608,3.674776672,-1.712139744,-7.957788988,-7.665076776,-3.513897027,1.266793677,9.145447236,0.335084894,30.58081812
4.80254361,1.515368494,-2.946056437,-5.001052146,3.405104996,-1.726120748,-7.912170906,-7.672274101,-3.530508068,1.279651541,9.159755588,0.335008779,30.5807494
-2.098706095,-2.096233108,0.452336302,-5.336444992,3.084982939,-1.732273906,-7.859321206,-7.679566167,-3.546865847,1.292489819,9.173993004,0.334929405,30.58067985
-3.71931739,-4.922720664,3.896302789,-5.547338084,2.714109266,-1.730772154,-7.799269363,-7.686947365,-3.562970719,1.305308109,9.188159332,0.334846769,30.58060947
-4.375987684,-6.080197002,7.134655151,-5.61924436,2.292182746,-1.721770622,-7.732062664,-7.694412091,-3.578823036,1.318106008,9.20225442,0.334760868,30.58053827
-2.803352059,-5.24204891,9.96142715,-5.538534437,1.819759822,-1.705422335,-7.657750494,-7.701954739,-3.594423154,1.330883112,9.216278118,0.334671696,30.58046623
-1.759538332,-2.827096344,12.23957845,-5.29501456,1.300832568,-1.681879191,-7.57638337,-7.709569701,-3.609771427,1.343639018,9.230230273,0.334579251,30.58039337
-2.387896203,0.525208965,13.84792238,-4.879770074,0.740672156,-1.651283961,-7.488020935,-7.717251373,-3.624868207,1.356373323,9.244110734,0.33448353,30.58031967
-0.973595617,3.727235533,14.66527224,-4.285682866,0.146346302,-1.613765493,-7.392736755,-7.724994148,-3.639713849,1.369085625,9.257919348,0.334384528,30.58024515
1.505254984,6.104290371,14.57151204,-3.507846196,-0.473936568,-1.569442536,-7.290614493,-7.73279242,-3.654308707,1.381775519,9.271655966,0.334282241,30.5801698
2.631295751,7.130931901,13.45775281,-2.552765136,-1.111783276,-1.518417139,-7.181754514,-7.740640582,-3.668653135,1.394442604,9.285320434,0.334176667,30.58009362
2.734197594,6.030409652,11.29823203,-1.455793068,-1.758800645,-1.460771203,-7.066277331,-7.748533029,-3.682747486,1.407086476,9.298912602,0.334067802,30.58001661
2.592226756,2.860265313,8.291244111,-0.259227789,-2.406595498,-1.396562212,-6.944327872,-7.756464154,-3.696592115,1.419706731,9.312432318,0.333955641,30.57993877
0.016230252,-1.398818328,4.689361593,0.994632908,-3.046774658,-1.325842063,-6.816056655,-7.764428352,-3.710187376,1.432302968,9.325879429,0.333840181,30.5798601
-2.365236437,-5.313866954,0.745157011,2.263491225,-3.670944949,-1.2486626,-6.68161425,-7.772420016,-3.723533622,1.444874782,9.339253786,0.333721419,30.57978061
-1.003892234,-7.691631837,-3.2887971,3.505049366,-4.270713194,-1.165075664,-6.541151227,-7.78043354,-3.736631207,1.457421771,9.352555235,0.333599351,30.57970028
0.799266822,-8.429587138,-7.159928203,4.677009538,-4.837686215,-1.075133098,-6.394818159,-7.788463319,-3.749480486,1.469943532,9.365783625,0.333473973,30.57961913
1.567423759,-7.712765915,-10.63228393,5.737073943,-5.363470835,-0.978886745,-6.242765615,-7.796503745,-3.762081811,1.482439661,9.378938806,0.333345281,30.57953714
1.136186506,-5.444357344,-13.54418069,6.642944786,-5.839673878,-0.876388446,-6.085144167,-7.804549213,-3.774435538,1.494909756,9.392020624,0.333213273,30.57945433
-0.175554772,-2.15093694,-15.7838308,7.352324272,-6.257902167,-0.767690046,-5.922104387,-7.812594116,-3.78654202,1.507353413,9.405028929,0.333077943,30.57937069
-0.815117657,1.393408466,-17.25572751,7.822914605,-6.609762524,-0.652843385,-5.753796844,-7.820632849,-3.798401611,1.51977023,9.417963569,0.33293929,30.57928622
0.415262265,4.611633255,-17.86648727,8.012662042,-6.887084485,-0.531921648,-5.580372111,-7.828659805,-3.810014664,1.532159804,9.430824392,0.332797308,30.57920092
-0.028458677,8.028499886,-17.53338103,7.892843055,-7.084287928,-0.405083391,-5.401980757,-7.836669379,-3.821381534,1.54452173,9.443611247,0.332651994,30.57911479
-0.791491469,10.45993814,-16.21629775,7.484536535,-7.203011779,-0.272452549,-5.218773355,-7.844655964,-3.832502575,1.556855607,9.456323982,0.332503345,30.57902783
-0.411945512,9.903360169,-13.88436481,6.821744848,-7.24740297,-0.13391403,-5.030900475,-7.852613954,-3.84337814,1.569161031,9.468962446,0.332351358,30.57894004
0.857154365,4.553338153,-10.55895423,5.938612734,-7.221727717,0.010624172,-4.838512688,-7.860537743,-3.854008584,1.581437599,9.481526487,0.332196027,30.57885143
-0.918267699,-4.464285711,-6.491656988,4.869284928,-7.129708004,0.160709831,-4.641760565,-7.868421724,-3.86439426,1.593684909,9.494015952,0.33203735,30.57876198
0.947724343,-11.51577237,-1.991972833,3.64790617,-6.974925036,0.315749943,-4.440794678,-7.876260292,-3.874535523,1.605902556,9.506430692,0.331875323,30.57867171
-1.139339987,-12.41314656,2.636768792,2.308621196,-6.760959776,0.47515126,-4.235765597,-7.884047841,-3.884432726,1.618090138,9.518770554,0.331709942,30.5785806
0.973607461,-8.878516351,7.133783165,0.885574743,-6.491393183,0.638320531,-4.026823893,-7.891778765,-3.894086222,1.630247252,9.531035386,0.331541204,30.57848867
1.475042065,-2.667021375,11.31590988,-0.587088449,-6.169806217,0.804664508,-3.814120137,-7.899447456,-3.903496367,1.642373495,9.543225037,0.331369105,30.57839591
-1.688425544,5.380199987,15.01785205,-2.075223645,-5.799779839,0.97358994,-3.597804901,-7.90704831,-3.912663514,1.654468464,9.555339355,0.331193642,30.57830232
-0.207096782,12.1289214,18.07431276,-3.544686106,-5.38489501,1.144503578,-3.378028755,-7.91457572,-3.921588017,1.666531756,9.567378189,0.33101481,30.5782079
2.0781389,14.74550456,20.31999513,-4.961331095,-4.92873269,1.316812174,-3.154942271,-7.922024079,-3.930270229,1.678562967,9.579341388,0.330832606,30.57811265
0.319170774,11.58475323,21.61838145,-6.291013875,-4.434873839,1.489922476,-2.928696019,-7.929387783,-3.938710505,1.690561695,9.591228798,0.330647026,30.57801657
-2.416403637,5.140646085,21.94851658,-7.500035392,-3.906899418,1.663241237,-2.69944057,-7.936661224,-3.946909199,1.702527536,9.60304027,0.330458068,30.57791966
2.558671485,-1.651275703,21.32370457,-8.560176601,-3.348390387,1.836175206,-2.467326497,-7.943838797,-3.954866664,1.714460088,9.614775651,0.330265726,30.57782192
2.149435905,-7.653254917,19.77248424,-9.458231672,-2.763149262,2.008131134,-2.232504368,-7.950914895,-3.962583254,1.726358947,9.626434789,0.330069998,30.57772336
-2.722035831,-12.03456912,17.32709168,-10.18380583,-2.155864774,2.178515771,-1.995124756,-7.957883913,-3.970059324,1.738223711,9.638017534,0.329870879,30.57762396
-2.210480259,-15.68768478,14.019763,-10.72628273,-1.531447211,2.346735869,-1.755338232,-7.964740244,-3.977295227,1.750053976,9.649523733,0.329668367,30.57752374
-0.098983284,-18.29671902,9.882734285,-11.07504605,-0.89480686,2.512198177,-1.513295366,-7.971478282,-3.984291318,1.761849339,9.660953235,0.329462457,30.57742268
1.884046203,-19.04046595,4.948241632,-11.21920771,-0.251125745,2.674309446,-1.26914673,-7.97809242,-3.991047949,1.773609397,9.672305888,0.329253146,30.5773208
2.758224336,-17.44460106,-0.682622536,-11.14762282,0.394157268,2.832476427,-1.023042895,-7.984577054,-3.997565475,1.785333747,9.683581541,0.32904043,30.57721809
2.261008892,-13.36079878,-6.630608475,-10.85219064,1.038647511,2.98610587,-0.775134432,-7.990926577,-4.00384425,1.797021987,9.694780042,0.328824306,30.57711455
1.223287039,-6.8311454,-12.43948399,-10.32562263,1.680762481,3.134604526,-0.525571911,-7.997135382,-4.009884628,1.808673712,9.705901239,0.328604769,30.57701018
0.798284504,1.698409938,-17.66149258,-9.560625767,2.318915194,3.277379145,-0.274505904,-8.003197863,-4.015686963,1.820288521,9.716944982,0.328381817,30.57690498
-1.184069461,11.01801649,-21.85167967,-8.549907013,2.951518664,3.413836478,-0.022086981,-8.009108415,-4.021251609,1.831866009,9.727911117,0.328155445,30.57679895
-2.583672617,19.18765051,-24.56509068,-7.286173339,3.576985908,3.543383275,0.231534285,-8.014861431,-4.026578918,1.843405774,9.738799494,0.32792565,30.57669209
-1.370585047,22.5674506,-25.3540531,-5.764849653,4.193729939,3.665426287,0.486207325,-8.020451306,-4.031669247,1.854907413,9.749609962,0.327692428,30.5765844
2.512043455,14.98862891,-23.89910034,-4.001138793,4.800163774,3.779372264,0.741781567,-8.025872432,-4.036522948,1.866370522,9.760342367,0.327455775,30.57647588
-2.491556138,-4.51304777,-20.4343586,-2.048586225,5.394700427,3.884627957,0.99810644,-8.031119204,-4.041140375,1.877794699,9.77099656,0.327215689,30.57636654
2.490372023,-20.15135366,-15.33303174,0.030356416,5.975752913,3.980600117,1.255031372,-8.036186016,-4.045521882,1.889179541,9.781572387,0.326972165,30.57625636
-2.517716558,-24.06353915,-8.96754713,2.173237493,6.541734247,4.066695494,1.512405794,-8.041067262,-4.049667823,1.900524644,9.792069699,0.326725199,30.57614536
1.49351686,-24.56069368,-1.721376338,4.317605368,7.091057444,4.142320838,1.770079134,-8.045757335,-4.053578552,1.911829606,9.802488342,0.326474788,30.57603352
2.621222912,-19.81451754,5.924808057,6.401008406,7.622135521,4.206882901,2.027900821,-8.050250629,-4.057254424,1.923094023,9.812828166,0.326220929,30.57592086
-2.814852943,-6.829649939,13.31067754,8.360994969,8.13338149,4.259788432,2.285720284,-8.054541539,-4.060695791,1.934317492,9.823089019,0.325963617,30.57580736
-0.772944765,8.978625861,19.7345272,10.13511342,8.623208369,4.300444182,2.543386952,-8.058624458,-4.063903008,1.945499611,9.833270749,0.325702849,30.57569304
