no,no,no,no,no,no,no,no,no,no,no,no,no
-7.034600351,-9.357976541,15.03928573,-0.740607823,-5.914276044,-18.4342376,7.496789132,-9.607760962,-16.54830213,-8.966308706,-0.404371838,25.02149691,31.63087023
-6.761892084,8.836582102,18.55174975,-1.27377374,-6.091699104,-18.47298834,7.679354033,-9.923364133,-16.56806517,-8.976874012,-0.405192496,25.02531463,31.63084856
7.683351441,21.42040834,21.66484877,-1.711548599,-6.200360504,-18.33651996,7.790528757,-10.24093618,-16.58648759,-8.987256797,-0.405975487,25.02912048,31.63082732
1.584044939,23.62546465,24.11604186,-2.038819791,-6.227921904,-18.02567964,7.831281763,-10.56038738,-16.60356847,-8.99745627,-0.406720735,25.03291446,31.63080652
-1.670829805,17.32426764,25.65616682,-2.240036605,-6.157701016,-17.54859856,7.80488321,-10.88142774,-16.61930688,-9.007471638,-0.407428165,25.03669657,31.63078616
-5.998957872,6.362485813,26.08952944,-2.292859802,-5.977538288,-16.9161412,7.714947227,-11.20359664,-16.6337019,-9.01730211,-0.408097698,25.04046679,31.63076624
-7.289024203,-6.056591265,25.24563414,-2.166725509,-5.69500692,-16.13948384,7.565055801,-11.52640133,-16.64675262,-9.026946894,-0.40872926,25.04422514,31.63074676
1.91923655,-16.9586243,23.00312813,-1.876622575,-5.321270184,-15.22980273,7.358790915,-11.84934905,-16.6584581,-9.036405199,-0.409322773,25.04797159,31.63072772
5.502648419,-22.68583268,19.2572955,-1.454526492,-4.867141603,-14.19827413,7.099734554,-12.17194704,-16.66881742,-9.045676233,-0.409878161,25.05170616,31.63070912
4.782720585,-22.26258861,14.07204521,-0.93356993,-4.343434705,-13.05607429,6.791468702,-12.49370254,-16.67782966,-9.054759203,-0.410395348,25.05542883,31.63069096
1.799703448,-16.84909915,8.088379826,-0.346885562,-3.760963014,-11.81437948,6.437575345,-12.81412279,-16.6854939,-9.063653319,-0.410874257,25.0591396,31.63067324
-2.893437895,-8.744645791,1.74366169,0.27239394,-3.130540057,-10.48436595,6.041636465,-13.13271503,-16.69180922,-9.072357788,-0.411314812,25.06283848,31.63065596
-6.792435833,-0.007035574,-4.617523851,0.891135904,-2.462979359,-9.077209963,5.607234049,-13.4489865,-16.69677468,-9.080871819,-0.411716937,25.06652544,31.63063913
-3.367867862,6.690769574,-10.65059145,1.476207659,-1.769094445,-7.604087782,5.13795008,-13.76244445,-16.70038938,-9.08919462,-0.412080555,25.0702005,31.63062273
4.595751754,11.58974449,-16.01095575,1.994476533,-1.059698842,-6.076175662,4.637366543,-14.07259611,-16.70265238,-9.0973254,-0.41240559,25.07386364,31.63060677
6.937998939,15.30677383,-20.3540314,2.412809854,-0.345606075,-4.504649863,4.109065423,-14.37894873,-16.70356276,-9.105263365,-0.412691965,25.07751486,31.63059125
3.580292887,18.34689896,-23.33523305,2.698074949,0.36237033,-2.900686642,3.556628703,-14.68100954,-16.70311953,-9.113007801,-0.412939604,25.08115417,31.63057617
-1.738732445,18.59741185,-24.74791344,2.815627033,1.053401699,-1.275462261,2.983638369,-14.97828579,-16.70132132,-9.120558347,-0.41314843,25.08478155,31.63056154
-5.807514674,15.36187067,-24.83314888,2.749501423,1.716508224,0.359847024,2.393676404,-15.27028473,-16.69816642,-9.127915017,-0.413318368,25.088397,31.63054734
-3.024101564,7.698242162,-23.53737738,2.563494024,2.341512743,1.994064952,1.790324794,-15.55651358,-16.69365268,-9.13507823,-0.413449341,25.09200052,31.63053359
2.048219661,-1.798934192,-20.63716191,2.275482361,2.922948164,3.616015266,1.177165523,-15.83647959,-16.68777742,-9.142048966,-0.413541271,25.0955921,31.63052027
5.989000268,-10.1679574,-15.89260383,1.885364839,3.456864923,5.214521705,0.557780575,-16.10969,-16.6805378,-9.148828333,-0.413594084,25.09917174,31.6305074
5.77735376,-14.71337954,-9.067113678,1.392877084,3.939476238,6.778408011,-0.064248064,-16.37565206,-16.67193102,-9.155417439,-0.413607702,25.10273944,31.63049497
0.821960878,-14.14079312,-0.132628813,0.797640233,4.367109817,8.296497926,-0.685338412,-16.633873,-16.66195423,-9.161817391,-0.41358205,25.10629519,31.63048297
-5.942891619,-6.903674254,9.851191006,0.099249068,4.736119721,9.757615189,-1.301908482,-16.88386006,-16.65060464,-9.168029297,-0.41351705,25.10983899,31.63047142
-2.956542035,5.396426154,18.41638587,-0.702691998,5.042850381,11.15058354,-1.910376291,-17.12512049,-16.6378794,-9.174054263,-0.413412626,25.11337083,31.63046031
5.453326967,12.00955404,22.7917434,-1.60744913,5.282516807,12.46422673,-2.507159855,-17.35716153,-16.6237757,-9.179893398,-0.413268703,25.11689072,31.63044965
-5.142346602,4.718038957,20.94065098,-2.585424532,5.445965977,13.68736849,-3.088677188,-17.57949041,-16.60829071,-9.18554781,-0.413085204,25.12039864,31.63043942
0.173413678,-5.458210804,13.76489511,-3.507947165,5.522955352,14.80883256,-3.651346306,-17.79161438,-16.59142162,-9.191018605,-0.412862062,25.12389461,31.63042963
4.344702426,-9.045500864,2.900862115,-4.221850059,5.503134279,15.8175508,-4.191585224,-17.99304069,-16.5731656,-9.196306892,-0.412599209,25.12737862,31.63042029
-4.100227249,-1.734327977,-9.425029084,-4.573966246,5.375072501,16.70353468,-4.705811959,-18.18327656,-16.55351983,-9.201413778,-0.412296578,25.13085069,31.63041139
-2.239871138,3.136637477,-18.64143702,-4.415094111,5.128173954,17.45992681,-5.190444526,-18.36182924,-16.53248149,-9.20634037,-0.411954103,25.13431082,31.63040293
1.385213292,0.960263835,-20.78649725,-3.614596482,4.767796129,18.08259722,-5.642017446,-18.52820598,-16.51004775,-9.211087776,-0.411571727,25.13775902,31.63039491
3.14848754,-4.222757456,-16.44147276,-2.125328352,4.312628655,18.56953261,-6.057736597,-18.68191401,-16.48621579,-9.215657104,-0.411149393,25.14119532,31.63038733
-2.022148479,-6.780433304,-7.638507777,-0.177706512,3.783194234,18.92065606,-6.43587426,-18.82246057,-16.46098279,-9.220049461,-0.410687043,25.14461972,31.6303802
-2.60676337,-5.0403975,2.316563527,1.929137555,3.198844683,19.13791557,-6.775556785,-18.94935291,-16.43434593,-9.224265954,-0.410184623,25.14803224,31.6303735
2.401942393,-0.987294598,11.20754963,3.896072367,2.577839875,19.22516247,-7.076721872,-19.06209827,-16.40630239,-9.228307692,-0.409642074,25.1514329,31.63036725
0.796701248,3.937565895,17.19949106,5.423966441,1.938219326,19.18729073,-7.340129522,-19.16020388,-16.37684934,-9.232175768,-0.409059356,25.15482172,31.63036144
-1.683577642,6.197978061,18.596148,6.211874387,1.299836462,19.02977032,-7.567115722,-19.24317699,-16.34598396,-9.235871219,-0.40843648,25.15819871,31.63035608
-0.752672391,4.550181123,14.78996774,6.037849658,0.685100926,18.75818605,-7.759131332,-19.31052485,-16.31370343,-9.239395069,-0.407773476,25.16156389,31.63035115
2.174729886,0.375231481,7.463269118,5.023077358,0.099510973,18.37812468,-7.917629125,-19.36175468,-16.28000493,-9.242748341,-0.40707037,25.16491727,31.63034667
1.090828516,-3.642309248,-1.163575756,3.374707669,-0.455845164,17.89517296,-8.044061874,-19.39637161,-16.24488774,-9.245932058,-0.406327191,25.16825887,31.63034263
-2.208154648,-5.471565387,-8.870531347,1.299818429,-0.979806897,17.31491762,-8.139882351,-19.41387139,-16.20836056,-9.248947244,-0.405543965,25.17158871,31.63033903
0.609471804,-3.409946946,-13.91474599,-0.994512529,-1.471213644,16.64294542,-8.206543329,-19.41374312,-16.17043869,-9.251794922,-0.404720721,25.1749068,31.63033588
1.52610715,0.963787654,-16.34272749,-3.301207368,-1.928904821,15.8848431,-8.245457854,-19.3955141,-16.13113898,-9.254476116,-0.403857486,25.17821315,31.63033316
0.834054061,4.694338178,-16.23472694,-5.402806534,-2.351719841,15.0461974,-8.257880064,-19.35888191,-16.0904669,-9.256991849,-0.402954288,25.18150779,31.63033089
1.165328966,4.478450799,-13.5137194,-7.070886658,-2.738498122,14.13259507,-8.244994702,-19.30361659,-16.04842486,-9.259343145,-0.402011154,25.18479073,31.63032906
1.721168686,0.756294792,-8.049971234,-8.192376588,-3.088079078,13.14962285,-8.207852892,-19.2296218,-16.00501527,-9.261531027,-0.401028112,25.18806199,31.63032768
0.558692961,-3.327920249,-0.99918216,-8.698695039,-3.399302126,12.1028675,-8.147411996,-19.13689498,-15.96024051,-9.263556496,-0.400005212,25.19132158,31.63032674
-2.19805588,-4.236304995,6.125827475,-8.526139993,-3.669609114,10.99791575,-8.064592078,-19.02547085,-15.914103,-9.265420466,-0.398942591,25.19456951,31.63032624
1.187184165,-0.334255804,11.79330334,-7.616573146,-3.89087818,9.840354344,-7.960280637,-18.8954167,-15.86660515,-9.26712383,-0.397840408,25.19780582,31.63032618
1.786158182,3.706535689,14.5423033,-5.911841027,-4.055002629,8.635770038,-7.835325223,-18.74683976,-15.81774934,-9.268667478,-0.396698822,25.2010305,31.63032657
0.61229217,3.36434975,13.42161712,-3.409922322,-4.159128313,7.389749572,-7.690519166,-18.5799015,-15.76753799,-9.270052304,-0.395517991,25.20424358,31.6303274
0.576862381,-0.059095766,9.390805058,-0.359547579,-4.201706539,6.107878645,-7.526563692,-18.39485548,-15.71597349,-9.271279198,-0.394298077,25.20744507,31.63032867
-1.690971645,-3.131778364,3.708702249,2.903089876,-4.181175535,4.795729878,-7.344057194,-18.19205809,-15.66305826,-9.272349054,-0.393039236,25.21063499,31.63033039
-0.667020358,-3.014006559,-2.412035666,6.035277195,-4.095914478,3.458816842,-7.143576249,-17.97188754,-15.60879469,-9.273262762,-0.391741629,25.21381335,31.63033255
-0.521895806,-0.783077817,-7.826962488,8.694301532,-3.944167224,2.102517784,-6.925697436,-17.73472205,-15.55318519,-9.274021215,-0.390405415,25.21698018,31.63033515
0.458992022,1.703962565,-11.69708626,10.53745004,-3.723952871,0.731986195,-6.690997332,-17.48093983,-15.49623216,-9.274625305,-0.389030753,25.22013548,31.6303382
1.28984865,2.509579569,-13.40254079,11.22200988,-3.432997638,-0.647917311,-6.440052514,-17.21091908,-15.437938,-9.275075923,-0.387617801,25.22327927,31.63034169
-1.295696944,1.75636894,-12.89605289,10.51008212,-3.070633967,-2.032501083,-6.173439561,-16.92503802,-15.37830511,-9.275373962,-0.38616672,25.22641158,31.63034562
0.859470961,0.861915718,-10.94485065,8.596893854,-2.643454377,-3.416914119,-5.891735049,-16.62367486,-15.31733591,-9.275520313,-0.384677667,25.22953241,31.63035
0.761818046,0.947525489,-8.447508644,5.827723316,-2.160280173,-4.795851813,-5.595515555,-16.30720781,-15.25503278,-9.275515868,-0.383150803,25.23264178,31.63035482
-0.804743206,1.085166886,-5.360654343,2.517791778,-1.630506025,-6.163436192,-5.285357659,-15.97601509,-15.19139814,-9.27536152,-0.381586287,25.23573971,31.63036009
-0.299598986,0.085140139,-1.579680062,-1.043947555,-1.064115698,-7.513200192,-4.961837937,-15.63047489,-15.12643439,-9.27505816,-0.379984276,25.23882621,31.6303658
0.271631298,-0.695735289,2.189556807,-4.588362422,-0.471061336,-8.838708367,-4.625532967,-15.27096544,-15.06014393,-9.27460668,-0.378344932,25.2419013,31.63037195
0.259055761,-1.15156316,5.850611878,-7.850537865,0.139639486,-10.13445984,-4.277019326,-14.89786494,-14.99252916,-9.274007972,-0.376668412,25.244965,31.63037855
0.182092866,-2.178351472,9.369634656,-10.56555893,0.75919517,-11.39517972,-3.916873592,-14.51155161,-14.92359248,-9.273262928,-0.374954876,25.24801732,31.63038559
0.448866856,-3.620309021,12.15226966,-12.46851065,1.378656234,-12.61543521,-3.545672343,-14.11240365,-14.85333631,-9.272372441,-0.373204483,25.25105828,31.63039308
0.775898978,-4.659599917,13.3839088,-13.29466716,1.988531063,-13.7892514,-3.163992156,-13.70079928,-14.78176303,-9.2713374,-0.371417392,25.25408789,31.63040101
0.593762292,-4.342159818,12.4552818,-12.86433946,2.578157909,-14.91006443,-2.772409609,-13.27711671,-14.70887506,-9.2701587,-0.369593762,25.25710617,31.63040938
0.224652797,-2.934018513,9.475297561,-11.33522182,3.134283386,-15.97104354,-2.371501279,-12.84173415,-14.6346748,-9.268837231,-0.367733753,25.26011314,31.6304182
-1.499288575,0.471692542,4.955170774,-8.949576369,3.643209827,-16.96549486,-1.961843744,-12.39502981,-14.55916465,-9.267373886,-0.365837523,25.2631088,31.63042746
-4.16111699,4.91597298,-0.312747025,-5.949737082,4.091512926,-17.8869445,-1.544066974,-11.9373819,-14.48234701,-9.265769557,-0.363905232,25.26609319,31.63043717
-6.187901283,8.322222042,-5.474490241,-2.57803792,4.465852208,-18.72878885,-1.11901451,-11.46916863,-14.40422429,-9.264025135,-0.361937038,25.26906631,31.63044732
