E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12
-0.693918551,-23.38591176,-23.35009155,16.74065198,13.82324126,-6.643356037,-0.53769796,-4.948810276,1.853013936,-21.91963733,-5.174610279,67.82712657
-5.41004826,-28.75011321,-26.7183253,17.28535881,13.82630497,-6.968573313,-0.562859396,-4.960883609,1.85593649,-21.92572963,-5.168566504,67.82749895
3.411086076,-36.43130788,-26.52438693,17.23667067,13.6724782,-7.28807453,-0.586093895,-4.972825653,1.858964471,-21.93186894,-5.162512746,67.82787114
5.829042529,-36.38364427,-22.34924779,16.57106092,13.36982277,-7.600898881,-0.607335466,-4.984637,1.862098331,-21.93805529,-5.156449003,67.82824315
-1.618919794,-23.76151703,-14.80259753,15.35295768,12.92971949,-7.906095929,-0.62651812,-4.996318248,1.865338521,-21.94428875,-5.150375271,67.82861497
-7.144307019,-2.408094079,-5.178419631,13.66859237,12.36357825,-8.202715235,-0.643575865,-5.007869992,1.86868549,-21.95056936,-5.144291545,67.82898661
7.562372395,19.28661837,5.115143009,11.60419645,11.68280892,-8.489806363,-0.658442711,-5.019292825,1.87213969,-21.95689717,-5.138197823,67.82935806
-7.434820147,32.45804427,14.6699475,9.246001343,10.89882136,-8.766418875,-0.671052667,-5.030587345,1.875701563,-21.96327223,-5.132094101,67.82972933
-6.107413197,35.30719749,22.07785096,6.6802385,10.02302547,-9.031602332,-0.681339742,-5.041754147,1.879371521,-21.96969456,-5.125980375,67.8301004
8.834915552,28.71321243,26.23072656,3.993151952,9.0668311,-9.284406298,-0.689237946,-5.052793825,1.883149935,-21.97616411,-5.119856642,67.8304713
8.283543751,14.39405345,27.22172239,1.269825464,8.041648137,-9.523880333,-0.694681289,-5.063706975,1.88703716,-21.98268085,-5.1137229,67.830842
-3.397355873,-3.925138781,25.45375216,-1.414394172,6.958886451,-9.749074002,-0.697603779,-5.074494192,1.891033547,-21.98924473,-5.107579155,67.83121252
-9.866048162,-20.52678605,21.3505681,-4.00499867,5.829955916,-9.959036865,-0.697939435,-5.085156064,1.895139446,-21.99585567,-5.101425411,67.83158286
-6.761112437,-30.48299565,15.34082941,-6.45238671,4.666266407,-10.15281849,-0.695622451,-5.095692999,1.899355208,-22.00251362,-5.095261677,67.831953
3.193938792,-32.08089282,7.85314639,-8.706956971,3.479227798,-10.32946843,-0.690588777,-5.106103654,1.903681184,-22.00921853,-5.08908796,67.83232297
9.401990808,-26.60730882,-0.630562399,-10.71910813,2.280249961,-10.48803625,-0.682779536,-5.11638151,1.908117723,-22.01597032,-5.082904266,67.83269274
9.372081756,-14.73991304,-9.383693149,-12.43923888,1.080742772,-10.62757151,-0.672138563,-5.126517335,1.912665175,-22.02276895,-5.076710602,67.83306233
5.270475573,0.362313089,-17.50555581,-13.81774788,-0.107883896,-10.74712379,-0.65861009,-5.136501504,1.917323892,-22.02961435,-5.070506975,67.83343173
-0.052947578,15.07522408,-24.07391246,-14.80503382,-1.27422017,-10.84574263,-0.642138348,-5.146324391,1.922094222,-22.03650647,-5.064293392,67.83380095
-3.960579152,25.32923877,-28.16881793,-15.35149538,-2.406856174,-10.9224776,-0.622667567,-5.155976369,1.926976516,-22.04344523,-5.05806986,67.83416998
-4.779026779,28.01899217,-28.86934907,-15.40846653,-3.494424714,-10.97637826,-0.600141979,-5.16544781,1.931971124,-22.05043059,-5.051836387,67.83453883
-2.237426615,22.21710832,-25.58550736,-14.95085282,-4.526522843,-11.00649414,-0.574505858,-5.17472909,1.937078397,-22.05746249,-5.045592978,67.83490749
3.002337852,9.970800416,-19.0656625,-14.03318754,-5.496593558,-11.01184542,-0.545732819,-5.18381058,1.942298684,-22.06454086,-5.039339641,67.83527596
